"Year1","Year2","change_mgL","slope_mgL_yr","change_%","slope_%_yr","station"
2010,2016,0.075,0.013,29,4.8,"Blanchard"
2010,2022,0.13,0.011,49,4.1,"Blanchard"
2016,2022,0.052,0.0087,16,2.6,"Blanchard"
2010,2016,0.008,0.0013,4.1,0.68,"Honey"
2010,2022,0.026,0.0021,13,1.1,"Honey"
2016,2022,0.018,0.0029,8.6,1.4,"Honey"
2010,2016,-8.6e-05,-1.4e-05,-0.037,-0.0062,"Maumee"
2010,2022,0.018,0.0015,7.7,0.64,"Maumee"
2016,2022,0.018,0.003,7.8,1.3,"Maumee"
