"Year1","Year2","change_tons_yr","slope_tons_yr_yr","change_%","slope_%_yr","station"
2010,2016,5.9,0.98,3.9,0.64,"Blanchard"
2010,2022,29,2.4,19,1.6,"Blanchard"
2016,2022,23,3.8,14,2.4,"Blanchard"
2010,2016,5.8,0.97,7.6,1.3,"Honey"
2010,2022,13,1.1,17,1.4,"Honey"
2016,2022,6.8,1.1,8.3,1.4,"Honey"
2010,2016,33,5.5,1.3,0.21,"Maumee"
2010,2022,322,27,12,1,"Maumee"
2016,2022,289,48,11,1.8,"Maumee"
