"unit_change","unit_slope","per_change","per_slope","flow","type","scenario","station"
"0.00331963899543414","0.00055327316590569","3.59274201102488","0.598790335170813","HIGH","FNConc","pre","Maumee"
"0.00551549180379456","0.00045962431698288","5.96924519268838","0.497437099390698","HIGH","FNConc","all","Maumee"
"0.00219585280836042","0.00036597546806007","2.29408270843007","0.382347118071679","HIGH","FNConc","post","Maumee"
"0.00351613587955728","0.00058602264659288","6.02126256397932","1.00354376066322","LOW","FNConc","pre","Maumee"
"-0.00420850020282624","-0.00035070835023552","-7.2069128127573","-0.600576067729775","LOW","FNConc","all","Maumee"
"-0.00772463608238352","-0.00128743934706392","-12.4769079869748","-2.07948466449579","LOW","FNConc","post","Maumee"
"0.00794243366810256","0.00132373894468376","11.6493043413088","1.94155072355146","HIGH","FNConc","pre","Tiffin"
"-0.00362226704372041","-0.000301855586976701","-5.31284149935781","-0.44273679161315","HIGH","FNConc","all","Tiffin"
"-0.011564700711823","-0.00192745011863716","-15.1923435087547","-2.53205725145911","HIGH","FNConc","post","Tiffin"
"0.00351502363893512","0.000585837273155853","8.5745574210169","1.42909290350282","LOW","FNConc","pre","Tiffin"
"-0.00226984879335587","-0.000189154066112989","-5.53707480088304","-0.461422900073586","LOW","FNConc","all","Tiffin"
"-0.00578487243229099","-0.000964145405381832","-12.9971814365124","-2.16619690608541","LOW","FNConc","post","Tiffin"
"0.0341170374655339","0.00568617291092232","28.3383867652786","4.72306446087976","HIGH","FNConc","pre","Blanchard"
"0.0526560681409367","0.00438800567841139","43.7373270180384","3.6447772515032","HIGH","FNConc","all","Blanchard"
"0.0185390306754027","0.00308983844590045","11.9987017453502","1.99978362422504","HIGH","FNConc","post","Blanchard"
"0.112094891670392","0.0186824819450654","100.582609483076","16.7637682471794","LOW","FNConc","pre","Blanchard"
"0.162419966126829","0.0135349971772358","145.739237370657","12.1449364475547","LOW","FNConc","all","Blanchard"
"0.0503250744564371","0.00838751240940618","22.5127332842833","3.75212221404722","LOW","FNConc","post","Blanchard"
"0.00749260751646304","0.00124876791941051","8.97261825686487","1.49543637614414","HIGH","FNConc","pre","Sandusky"
"0.0241159754304635","0.00200966461920529","28.879591110843","2.40663259257025","HIGH","FNConc","all","Sandusky"
"0.0166233679140005","0.00277056131900008","18.267866893915","3.04464448231916","HIGH","FNConc","post","Sandusky"
"0.00118779029212784","0.000197965048687973","3.69168978963578","0.615281631605964","LOW","FNConc","pre","Sandusky"
"0.00803484394494412","0.000669570328745344","24.9725490681774","2.08104575568145","LOW","FNConc","all","Sandusky"
"0.00684705365281629","0.00114117560880271","20.5232061717916","3.42053436196527","LOW","FNConc","post","Sandusky"
"0.000329102447546276","5.48504079243793e-05","0.279723881045186","0.0466206468408644","HIGH","FNConc","pre","Honey"
"0.000585398452033217","4.87832043361014e-05","0.497565205550623","0.0414637671292186","HIGH","FNConc","all","Honey"
"0.000256296004486942","4.27160007478236e-05","0.217233670052629","0.0362056116754381","HIGH","FNConc","post","Honey"
"-0.00571424164625811","-0.000952373607709685","-10.5370696366581","-1.75617827277635","LOW","FNConc","pre","Honey"
"-0.0118042568194172","-0.000983688068284765","-21.767066185702","-1.81392218214184","LOW","FNConc","all","Honey"
"-0.00609001517315907","-0.00101500252885984","-12.5526813211179","-2.09211355351965","LOW","FNConc","post","Honey"
"0.0117216769220172","0.00195361282033619","33.5115456015646","5.58525760026076","HIGH","FNConc","pre","Raisin"
"0.0142026193030131","0.00118355160858442","40.6044056324903","3.38370046937419","HIGH","FNConc","all","Raisin"
"0.00248094238099595","0.000413490396832658","5.31254431889568","0.885424053149279","HIGH","FNConc","post","Raisin"
"0.00868529113605312","0.00144754852267552","57.5105678718249","9.58509464530415","LOW","FNConc","pre","Raisin"
"0.0135067531097457","0.00112556275914547","89.4363849499012","7.45303207915843","LOW","FNConc","all","Raisin"
"0.00482146197369257","0.000803576995615428","20.2690000483371","3.37816667472286","LOW","FNConc","post","Raisin"
