"unit_change","unit_slope","per_change","per_slope","flow","type","scenario","station"
"1.67890232403693","0.279817054006154","0.119616540413995","0.0199360900689991","HIGH","FNFlux","pre","Maumee"
"-68.3736730132607","-5.69780608443839","-4.87141038769809","-0.405950865641508","HIGH","FNFlux","all","Maumee"
"-70.0525753372976","-11.6754292228829","-4.98506396705727","-0.830843994509545","HIGH","FNFlux","post","Maumee"
"2.3784177519972","0.396402958666201","0.967051834878902","0.16117530581315","LOW","FNFlux","pre","Maumee"
"-12.6055901063222","-1.05046584219352","-5.12536497501914","-0.427113747918261","LOW","FNFlux","all","Maumee"
"-14.9840078583194","-2.49733464305324","-6.03406428055516","-1.00567738009253","LOW","FNFlux","post","Maumee"
"6.28270762937824","1.04711793822971","10.1720352569171","1.69533920948618","HIGH","FNFlux","pre","Tiffin"
"-2.21846804611109","-0.184872337175924","-3.59181685868441","-0.299318071557034","HIGH","FNFlux","all","Tiffin"
"-8.50117567548934","-1.41686261258156","-12.4930542342299","-2.08217570570498","HIGH","FNFlux","post","Tiffin"
"0.247059079051488","0.041176513175248","3.14079592979623","0.523465988299372","LOW","FNFlux","pre","Tiffin"
"-1.19465568076221","-0.0995546400635174","-15.1873378385901","-1.26561148654918","LOW","FNFlux","all","Tiffin"
"-1.4417147598137","-0.240285793302283","-17.7700138952404","-2.96166898254007","LOW","FNFlux","post","Tiffin"
"9.21612024439506","1.53602004073251","9.69176327013993","1.61529387835666","HIGH","FNFlux","pre","Blanchard"
"18.8158789908195","1.56798991590163","19.7869645862669","1.64891371552224","HIGH","FNFlux","all","Blanchard"
"9.59975874642446","1.59995979107074","9.2032446331137","1.53387410551895","HIGH","FNFlux","post","Blanchard"
"7.52439573549833","1.25406595591639","69.4337005739201","11.5722834289867","LOW","FNFlux","pre","Blanchard"
"10.8866713976949","0.907222616474574","100.460144395123","8.37167869959356","LOW","FNFlux","all","Blanchard"
"3.36227566219657","0.560379277032761","18.3118492461106","3.05197487435176","LOW","FNFlux","post","Blanchard"
"28.510707853676","4.75178464227933","9.08838215952091","1.51473035992015","HIGH","FNFlux","pre","Sandusky"
"61.0505210544044","5.08754342120037","19.4611255963175","1.62176046635979","HIGH","FNFlux","all","Sandusky"
"32.5398132007284","5.4233022001214","9.5085684024798","1.5847614004133","HIGH","FNFlux","post","Sandusky"
"0.720840828048857","0.120140138008143","2.93500895178609","0.489168158631015","LOW","FNFlux","pre","Sandusky"
"3.09336093960113","0.257780078300094","12.5950718876586","1.04958932397155","LOW","FNFlux","all","Sandusky"
"2.37252011155227","0.395420018592045","9.3846233990199","1.56410389983665","LOW","FNFlux","post","Sandusky"
"2.82022635298608","0.470037725497679","5.1028118286283","0.850468638104716","HIGH","FNFlux","pre","Honey"
"1.46871038915461","0.122392532429551","2.65742951400767","0.221452459500639","HIGH","FNFlux","all","Honey"
"-1.35151596383147","-0.225252660638578","-2.32665736727183","-0.387776227878638","HIGH","FNFlux","post","Honey"
"-0.105991912990213","-0.0176653188317022","-3.48705643425097","-0.581176072375162","LOW","FNFlux","pre","Honey"
"-0.471121956448035","-0.0392601630373362","-15.499567874586","-1.2916306562155","LOW","FNFlux","all","Honey"
"-0.365130043457822","-0.0608550072429703","-12.4465289281656","-2.07442148802759","LOW","FNFlux","post","Honey"
"18.8821650847033","3.14702751411721","26.4506097309468","4.4084349551578","HIGH","FNFlux","pre","Raisin"
"12.7396010453602","1.06163342044669","17.8459521917733","1.48716268264777","HIGH","FNFlux","all","Raisin"
"-6.14256403934303","-1.02376067322384","-6.80475765002788","-1.13412627500465","HIGH","FNFlux","post","Raisin"
"3.90630094263183","0.651050157105306","38.5092410646496","6.41820684410826","LOW","FNFlux","pre","Raisin"
"4.67553793217863","0.389628161014886","46.092561730759","3.84104681089658","LOW","FNFlux","all","Raisin"
"0.769236989546794","0.128206164924466","5.47495647786411","0.912492746310685","LOW","FNFlux","post","Raisin"
