"unit_change","unit_slope","per_change","per_slope","flow","type","scenario","station"
"-0.00181590296400758","-0.000302650494001263","-0.564224374396212","-0.094037395732702","HIGH","FNConc","pre","Maumee"
"0.0299624595986626","0.00249687163322188","9.30972103548846","0.775810086290705","HIGH","FNConc","all","Maumee"
"0.0317783625626702","0.00529639376044503","9.92997273643454","1.65499545607242","HIGH","FNConc","post","Maumee"
"-0.00492790719994168","-0.000821317866656947","-2.87265004380107","-0.478775007300178","LOW","FNConc","pre","Maumee"
"0.00186447053142041","0.000155372544285035","1.08686530335109","0.0905721086125911","LOW","FNConc","all","Maumee"
"0.0067923777313621","0.00113206295522702","4.07662244356277","0.679437073927128","LOW","FNConc","post","Maumee"
"0.0292227523303013","0.00487045872171688","13.6778863358912","2.27964772264853","HIGH","FNConc","pre","Tiffin"
"0.0239376267507088","0.00199480222922573","11.20415127728","0.933679273106667","HIGH","FNConc","all","Tiffin"
"-0.00528512557959249","-0.000880854263265414","-2.17609170819894","-0.36268195136649","HIGH","FNConc","post","Tiffin"
"0.0072212076657","0.00120353461095","5.83443838101195","0.972406396835325","LOW","FNConc","pre","Tiffin"
"-0.000467583910061492","-3.89653258384577e-05","-0.377788541404862","-0.0314823784504051","LOW","FNConc","all","Tiffin"
"-0.00768879157576149","-0.00128146526262692","-5.86975942561563","-0.978293237602604","LOW","FNConc","post","Tiffin"
"0.0337634452868195","0.00562724088113658","10.6368033637301","1.77280056062169","HIGH","FNConc","pre","Blanchard"
"0.0799374486227595","0.00666145405189662","25.1834170113707","2.09861808428089","HIGH","FNConc","all","Blanchard"
"0.04617400333594","0.00769566722265667","13.1480784019193","2.19134640031989","HIGH","FNConc","post","Blanchard"
"0.10537897894674","0.01756316315779","52.0718319221539","8.67863865369231","LOW","FNConc","pre","Blanchard"
"0.163241734512693","0.0136034778760577","80.6640588776437","6.72200490647031","LOW","FNConc","all","Blanchard"
"0.0578627555659529","0.00964379259432548","18.8017903079686","3.13363171799477","LOW","FNConc","post","Blanchard"
"0.00809428371593257","0.00134904728598876","2.56648157281999","0.427746928803332","HIGH","FNConc","pre","Sandusky"
"0.0890631336492207","0.00742192780410172","28.2395452581432","2.3532954381786","HIGH","FNConc","all","Sandusky"
"0.0809688499332881","0.0134948083222147","25.0306564987275","4.17177608312124","HIGH","FNConc","post","Sandusky"
"-0.0116236512525853","-0.00193727520876422","-9.66753114500843","-1.61125519083474","LOW","FNConc","pre","Sandusky"
"0.00868133920596224","0.000723444933830187","7.22037467661942","0.601697889718285","LOW","FNConc","all","Sandusky"
"0.0203049904585476","0.0033841650764246","18.6952776069229","3.11587960115382","LOW","FNConc","post","Sandusky"
"0.0175467550187442","0.0029244591697907","5.48916403236678","0.914860672061131","HIGH","FNConc","pre","Honey"
"0.0551878659081922","0.00459898882568268","17.2644599096939","1.43870499247449","HIGH","FNConc","all","Honey"
"0.037641110889448","0.00627351848157467","11.1625644068183","1.86042740113638","HIGH","FNConc","post","Honey"
"-0.000252525796769501","-4.20876327949168e-05","-0.225236402017014","-0.037539400336169","LOW","FNConc","pre","Honey"
"0.00175585204331916","0.00014632100360993","1.56610453969744","0.130508711641453","LOW","FNConc","all","Honey"
"0.00200837784008866","0.000334729640014776","1.79538480184449","0.299230800307415","LOW","FNConc","post","Honey"
"0.030174961904186","0.00502916031736434","24.9056613546719","4.15094355911199","HIGH","FNConc","pre","Raisin"
"0.0444539322506843","0.0037044943542237","36.6911675326915","3.05759729439096","HIGH","FNConc","all","Raisin"
"0.0142789703464983","0.00237982839108306","9.43552602035741","1.57258767005957","HIGH","FNConc","post","Raisin"
"0.0124078466947709","0.00206797444912848","20.468234826895","3.41137247114916","LOW","FNConc","pre","Raisin"
"0.0180888809607025","0.00150740674672521","29.8397838373878","2.48664865311565","LOW","FNConc","all","Raisin"
"0.00568103426593167","0.000946839044321945","7.77926980000918","1.2965449666682","LOW","FNConc","post","Raisin"
