"unit_change","unit_slope","per_change","per_slope","flow","type","scenario","station"
"-67.4765672585181","-11.2460945430864","-1.15800380806699","-0.193000634677831","HIGH","FNFlux","pre","Maumee"
"592.005696075903","49.3338080063252","10.1597469804112","0.846645581700933","HIGH","FNFlux","all","Maumee"
"659.482263334421","109.913710555737","11.4503462339036","1.90839103898394","HIGH","FNFlux","post","Maumee"
"-18.903676097837","-3.15061268297283","-2.63521273326014","-0.439202122210023","LOW","FNFlux","pre","Maumee"
"27.569632606681","2.29746938389008","3.84326553842841","0.320272128202367","LOW","FNFlux","all","Maumee"
"46.473308704518","7.745551450753","6.65382059937147","1.10897009989524","LOW","FNFlux","post","Maumee"
"29.0816299044756","4.84693831741261","14.6316163818781","2.43860273031301","HIGH","FNFlux","pre","Tiffin"
"40.5861070955862","3.38217559129885","20.419775349835","1.70164794581959","HIGH","FNFlux","all","Tiffin"
"11.5044771911106","1.9174128651851","5.04935649574597","0.841559415957662","HIGH","FNFlux","post","Tiffin"
"1.40346856923728","0.233911428206213","5.20459631391329","0.867432718985548","LOW","FNFlux","pre","Tiffin"
"0.903108538672448","0.0752590448893707","3.34907063433039","0.279089219527532","LOW","FNFlux","all","Tiffin"
"-0.500360030564828","-0.0833933384274713","-1.76373062071007","-0.293955103451678","LOW","FNFlux","post","Tiffin"
"3.13860788795648","0.523101314659414","0.893271035302417","0.148878505883736","HIGH","FNFlux","pre","Blanchard"
"49.6660379058723","4.13883649215602","14.1353219909332","1.17794349924443","HIGH","FNFlux","all","Blanchard"
"46.5274300179158","7.75457166965263","13.1248108221185","2.18746847035309","HIGH","FNFlux","post","Blanchard"
"7.49962503280166","1.24993750546694","31.8709038286889","5.31181730478149","LOW","FNFlux","pre","Blanchard"
"11.9858120401247","0.998817670010395","50.9357016075846","4.24464180063205","LOW","FNFlux","all","Blanchard"
"4.48618700732308","0.747697834553846","14.4571677491969","2.40952795819948","LOW","FNFlux","post","Blanchard"
"52.9200163639721","8.82000272732868","3.88053584069481","0.646755973449135","HIGH","FNFlux","pre","Sandusky"
"369.797935991466","30.8164946659555","27.1166610108383","2.2597217509032","HIGH","FNFlux","all","Sandusky"
"316.877919627494","52.8129866045823","22.3681221723549","3.72802036205915","HIGH","FNFlux","post","Sandusky"
"-2.78106128254419","-0.463510213757364","-3.14004584872195","-0.523340974786992","LOW","FNFlux","pre","Sandusky"
"11.9612218076989","0.996768483974906","13.5051985796399","1.12543321496999","LOW","FNFlux","all","Sandusky"
"14.7422830902431","2.45704718170718","17.1848568112731","2.86414280187884","LOW","FNFlux","post","Sandusky"
"14.2581046841824","2.37635078069707","7.93031134408443","1.3217185573474","HIGH","FNFlux","pre","Honey"
"29.600059578227","2.46667163151892","16.4634566415549","1.37195472012958","HIGH","FNFlux","all","Honey"
"15.3419548940446","2.55699248234077","7.90616203289421","1.31769367214904","HIGH","FNFlux","post","Honey"
"0.360167391002451","0.0600278985004084","4.56100863559873","0.760168105933122","LOW","FNFlux","pre","Honey"
"0.453271218925298","0.0377726015771082","5.74003642593114","0.478336368827595","LOW","FNFlux","all","Honey"
"0.0931038279228478","0.015517304653808","1.12759795043809","0.187932991739682","LOW","FNFlux","post","Honey"
"73.9546876460872","12.3257812743479","27.7492604052496","4.62487673420826","HIGH","FNFlux","pre","Raisin"
"121.58976257358","10.132480214465","45.6228819518954","3.80190682932461","HIGH","FNFlux","all","Raisin"
"47.6350749274925","7.93917915458208","13.9911741875817","2.33186236459695","HIGH","FNFlux","post","Raisin"
"8.60030061363341","1.43338343560557","20.5139539846133","3.41899233076888","LOW","FNFlux","pre","Raisin"
"11.4492061195633","0.954100509963605","27.3093346440418","2.27577788700349","LOW","FNFlux","all","Raisin"
"2.84890550592985","0.474817584321642","5.63866708771019","0.939777847951698","LOW","FNFlux","post","Raisin"
