month,day_of_year,angle,sin,cosine
1,16,15.8,0.272280247,0.962217994
2,45.5,44.9,0.705871571,0.708339838
3,75,74,0.961261696,0.275637356
4,105.5,104.1,0.969872015,-0.243615012
5,136,134.1,0.718126298,-0.695912797
6,166.5,154.2,0.435231099,-0.900318771
7,197,194.3,-0.246999013,-0.969015731
8,228,224.9,-0.705871571,-0.708339838
9,258.5,255,-0.965925826,-0.258819045
10,289,285,-0.965925826,0.258819045
11,319.5,315.1,-0.705871571,0.708339838
12,350,345.2,-0.255445758,0.966823389
