"Year","q_cms","conc","fn_conc","flux","fn_flux","station","area","fn_yield"
2020,6.01,0.2149,0.202,69.8,103.5,"Honey",386,268.134715025907
2021,4.82,0.1779,0.201,66.6,102.5,"Honey",386,265.544041450777
2022,8.9,0.2519,0.202,135.3,103.1,"Honey",386,267.098445595855
2008,57.73,0.1295,0.0789,339.2,134,"Raisin",2698,49.6664195700519
2009,39.09,0.0956,0.0818,225.2,140,"Raisin",2698,51.8902891030393
2010,16.43,0.0616,0.0849,36.9,146,"Raisin",2698,54.1141586360267
2011,14.22,0.0549,0.0882,36.8,153,"Raisin",2698,56.7086730911787
2012,62.24,0.162,0.0917,463.3,159,"Raisin",2698,58.932542624166
2013,10.4,0.0505,0.0956,20.5,167,"Raisin",2698,61.8977020014826
2014,16.46,0.0702,0.1005,54.5,176,"Raisin",2698,65.2335063009637
2015,9.23,0.0566,0.1055,19.1,184,"Raisin",2698,68.1986656782802
2016,17.35,0.0756,0.1049,59.8,186,"Raisin",2698,68.9399555226093
2017,38.04,0.1306,0.102,212.8,186,"Raisin",2698,68.9399555226093
2018,31.28,0.092,0.1006,270.4,188,"Raisin",2698,69.6812453669385
2019,30.41,0.1059,0.0997,140.3,189,"Raisin",2698,70.051890289103
2020,47.64,0.1508,0.0989,353.9,190,"Raisin",2698,70.4225352112676
2021,9.25,0.0453,0.0977,14.2,190,"Raisin",2698,70.4225352112676
2022,37.22,0.1225,0.0965,211.3,191,"Raisin",2698,70.7931801334322
