"season","pre_srp","pre_tp","pre_tss","post_srp","post_tp","post_tss","per_change_srp","per_change_tp","per_change_tss"
"frost",0.114484140934889,0.437283267808941,159.392379014807,0.0915205404057795,0.363199357818058,117.488896365198,-20,-17,-26
"thaw",0.084117956802342,0.472885792635593,199.439785871636,0.0759688821288682,0.427201320017945,146.088184621692,-10,-10,-27
"warm",0.0879284905970939,0.350729027896829,132.218435119668,0.0900246695408433,0.39079959199915,138.105275262456,2,11,4
