"season","pre_srp","post_srp","per_change_srp","pre_tp","post_tp","per_change_tp","pre_tss","post_tss","per_change_tss"
"frost",0.0881280483106341,0.0708600274056356,-20,0.246778044851975,0.213665351623221,-13,52.2839536838621,45.96724611359,-12
"thaw",0.0630142747706351,0.0560356505055926,-11,0.266097730113834,0.266860993633023,0,91.1098501876653,81.8310188683799,-10
"spring",0.0554350555899807,0.0532223944837907,-4,0.217587796340264,0.26552348581718,22,71.1173259226797,89.8268608112293,26
"fall",0.0821378480337725,0.0891862188309753,9,0.231567525287479,0.266955347962843,15,52.3666937884947,67.664383521024,29
