"season","pre_srp","post_srp","per_change_srp","pre_tp","post_tp","per_change_tp","pre_tss","post_tss","per_change_tss"
"frost",0.114484140934889,0.0915205404057795,-20,0.437283267808941,0.363199357818058,-17,159.392379014807,117.488896365198,-26
"thaw",0.084117956802342,0.0759688821288682,-10,0.472885792635593,0.427201320017945,-10,199.439785871636,146.088184621692,-27
"spring",0.0832095722336781,0.0765367982798284,-8,0.373158839640527,0.420841751464841,13,154.496765463471,164.431031443865,6
"fall",0.0970529619255486,0.109112890012837,12,0.307358726556769,0.348282947666357,13,89.1411935119699,100.848703906001,13
