"season","pre_srp","post_srp","per_change_srp","pre_tp","post_tp","per_change_tp","pre_tss","post_tss","per_change_tss"
"frost",0.042998278763926,0.042396733439591,-1,0.142707030645665,0.158714720154701,11,39.5850916307375,48.4180833037961,22
"thaw",0.0392549410505196,0.0404393324461597,3,0.177900221545885,0.204075122921035,15,59.900827277005,61.6377302748665,3
"spring",0.0305675083532884,0.0349605979195219,14,0.132371176380094,0.18708464876759,41,43.6442101439686,61.4001025867518,41
"fall",0.0504796523463586,0.0523663873142065,4,0.162510862827958,0.155252495250368,-4,40.2861490546723,36.1260852309616,-10
