"season","pre_srp","post_srp","per_change_srp","pre_tp","post_tp","per_change_tp","pre_tss","post_tss","per_change_tss"
"frost",0.133525458485366,0.143597153988724,8,0.462049659259793,0.414735731124027,-10,129.104972610905,86.2650734935093,-33
"thaw",0.10997186867689,0.0994055827756605,-10,0.545748459083176,0.504638298244962,-8,197.497158920332,144.773024410717,-27
"spring",0.113270628700619,0.132908715311762,17,0.438835612411521,0.496827797593879,13,135.987844256697,159.078242770449,17
"fall",0.169271532210587,0.183081639723737,8,0.400406369227441,0.429370325567185,7,78.6108523540789,85.565091168758,9
